Time,#CO2,#Hum,#Temp
2019-06-11 01-16-22,408,21.7987,34.7814
2019-06-11 01-16-24,408,21.7987,34.7814
2019-06-11 01-16-26,408,21.8353,34.7814
2019-06-11 01-16-28,408,21.7636,34.7681
2019-06-11 01-16-30,408,21.8323,34.7681
2019-06-11 01-16-34,409,21.817,34.7494
2019-06-11 01-16-36,408,21.8491,34.7681
2019-06-11 01-16-38,408,21.8506,34.7681
2019-06-11 01-16-40,408,21.8506,34.7948
2019-06-11 01-16-42,408,21.8353,34.7814
2019-06-11 01-16-44,408,21.7987,34.7948
2019-06-11 01-16-46,407,21.8353,34.7814
2019-06-11 01-16-50,407,21.7987,34.7814
2019-06-11 01-16-52,407,21.817,34.736
2019-06-11 01-16-54,407,21.814,34.6933
2019-06-11 01-16-56,407,21.846,34.6799
2019-06-11 01-16-58,407,21.8994,34.6666
2019-06-11 01-17-00,407,21.933,34.6666
2019-06-11 01-17-02,407,21.8781,34.6532
2019-06-11 01-17-04,406,21.9864,34.6532
2019-06-11 01-17-08,407,21.9864,34.6666
2019-06-11 01-17-10,407,22.0047,34.6532
2019-06-11 01-17-12,406,22.02,34.7093
2019-06-11 01-17-14,406,21.9727,34.6799
2019-06-11 01-17-16,406,21.9513,34.6799
2019-06-11 01-17-18,406,21.9177,34.6799
2019-06-11 01-17-20,406,21.9696,34.6532
2019-06-11 01-17-24,406,21.9681,34.6372
2019-06-11 01-17-26,406,21.9681,34.6372
2019-06-11 01-17-28,406,21.9498,34.6239
2019-06-11 01-17-30,406,21.965,34.6239
2019-06-11 01-17-32,406,21.9833,34.5945
2019-06-11 01-17-34,405,22.0154,34.5544
2019-06-11 01-17-36,405,22.1024,34.5945
2019-06-11 01-17-38,405,22.0154,34.5384
2019-06-11 01-17-42,404,22.1024,34.5678
2019-06-11 01-17-44,403,22.0871,34.5811
2019-06-11 01-17-46,403,22.052,34.6105
2019-06-11 01-17-48,403,22.0184,34.6105
2019-06-11 01-17-50,402,21.9818,34.5811
2019-06-11 01-17-52,402,22.052,34.6105
2019-06-11 01-17-54,403,22.0734,34.5678
2019-06-11 01-17-58,403,22.0322,34.5544
2019-06-11 01-18-00,403,22.0688,34.5678
2019-06-11 01-18-02,403,22.0688,34.5945
2019-06-11 01-18-04,403,22.0154,34.6372
2019-06-11 01-18-06,403,22.0016,34.6666
2019-06-11 01-18-08,403,21.9864,34.7093
2019-06-11 01-18-10,403,21.9009,34.7093
2019-06-11 01-18-12,404,21.8811,34.736
2019-06-11 01-18-16,404,21.9223,34.736
2019-06-11 01-18-18,405,21.9376,34.736
2019-06-11 01-18-20,405,21.8826,34.6799
2019-06-11 01-18-22,405,21.9177,34.6933
2019-06-11 01-18-24,404,21.9009,34.7227
2019-06-11 01-18-26,404,21.8826,34.6666
2019-06-11 01-18-28,404,21.9681,34.6666
2019-06-11 01-18-32,404,21.8994,34.6372
2019-06-11 01-18-34,405,21.9833,34.6105
2019-06-11 01-18-36,404,21.9818,34.6239
2019-06-11 01-18-38,404,21.9833,34.6239
2019-06-11 01-18-40,404,22.0184,34.6239
2019-06-11 01-18-42,404,22.0367,34.5945
2019-06-11 01-18-44,405,21.9467,34.6105
2019-06-11 01-18-46,405,22.0001,34.5678
2019-06-11 01-18-50,405,22.0139,34.5384
2019-06-11 01-18-52,405,22.0291,34.5384
2019-06-11 01-18-54,405,22.1191,34.5117
2019-06-11 01-18-56,405,22.1161,34.5384
2019-06-11 01-18-58,405,22.1527,34.5251
2019-06-11 01-19-00,404,22.1008,34.5251
2019-06-11 01-19-02,403,22.0657,34.5384
2019-06-11 01-19-04,403,22.1527,34.5251
2019-06-11 01-19-08,403,22.084,34.5117
2019-06-11 01-19-10,404,22.1161,34.4984
2019-06-11 01-19-12,404,22.1008,34.4984
2019-06-11 01-19-14,404,22.1161,34.4984
2019-06-11 01-19-16,403,22.1344,34.5384
2019-06-11 01-19-18,403,22.1527,34.5251
2019-06-11 01-19-20,403,22.1191,34.5384
2019-06-11 01-19-24,403,22.1527,34.5251
2019-06-11 01-19-26,404,22.171,34.5251
2019-06-11 01-19-28,404,22.1191,34.5544
2019-06-11 01-19-30,403,22.1207,34.5117
2019-06-11 01-19-32,403,22.1527,34.4984
2019-06-11 01-19-34,403,22.1512,34.4823
2019-06-11 01-19-37,403,22.1878,34.4556
2019-06-11 01-19-39,404,22.1664,34.4423
2019-06-11 01-19-43,405,22.1481,34.4263
2019-06-11 01-19-45,405,22.2198,34.4129
2019-06-11 01-19-47,404,22.2351,34.3862
2019-06-11 01-19-49,405,22.2168,34.3702
2019-06-11 01-19-51,405,22.3206,34.4129
2019-06-11 01-19-53,405,22.3038,34.4129
2019-06-11 01-19-55,405,22.2702,34.4263
2019-06-11 01-19-57,405,22.2702,34.4556
2019-06-11 01-20-01,405,22.2214,34.469
2019-06-11 01-20-03,405,22.1664,34.4823
2019-06-11 01-20-05,405,22.2214,34.5117
2019-06-11 01-20-07,404,22.2076,34.5384
2019-06-11 01-20-09,404,22.1375,34.5678
2019-06-11 01-20-11,404,22.0688,34.5544
2019-06-11 01-20-13,404,22.1024,34.5384
2019-06-11 01-20-15,404,22.084,34.5251
2019-06-11 01-20-19,405,22.1191,34.5251
2019-06-11 01-20-21,405,22.1344,34.4984
2019-06-11 01-20-23,406,22.1161,34.469
2019-06-11 01-20-25,406,22.1664,34.4263
2019-06-11 01-20-27,406,22.2015,34.4129
2019-06-11 01-20-29,406,22.1619,34.3862
2019-06-11 01-20-31,406,22.2168,34.3435
2019-06-11 01-20-35,405,22.2839,34.3568
2019-06-11 01-20-37,406,22.3389,34.3568
2019-06-11 01-20-39,406,22.3175,34.3702
2019-06-11 01-20-41,406,22.3022,34.3702
2019-06-11 01-20-43,406,22.3389,34.4423
2019-06-11 01-20-45,406,22.3251,34.469
2019-06-11 01-20-47,406,22.2565,34.5117
2019-06-11 01-20-49,406,22.2076,34.5384
2019-06-11 01-20-53,407,22.1527,34.5384
2019-06-11 01-20-55,407,22.1375,34.5544
2019-06-11 01-20-57,407,22.1207,34.6105
2019-06-11 01-20-59,407,22.1756,34.5811
2019-06-11 01-21-01,407,22.0703,34.5945
2019-06-11 01-21-03,407,22.0551,34.5811
2019-06-11 01-21-05,407,22.0703,34.5678
2019-06-11 01-21-07,407,22.052,34.5544
2019-06-11 01-21-11,407,22.0505,34.5678
2019-06-11 01-21-13,407,22.0688,34.5678
2019-06-11 01-21-15,407,22.0871,34.5678
